ID,assignee,organization_x,assignee_id,name,assignee_id1,location_id1,organization_y,assignee_id2,location_id2
12,0004fb0e-fd53-4556-b696-b976905c3289,Premier Power,950d102c-f8e1-448b-aedd-318f6d424065,"Premier Power Systems, Inc.",0004fb0e-fd53-4556-b696-b976905c3289,0191eb51-16c8-11ed-9b5f-1234bde3cd05,"Premier Power, Inc.",950d102c-f8e1-448b-aedd-318f6d424065,a588a472-cb8e-11eb-9615-121df0c29c1e
130,002e4c5e-02d0-4658-a0da-0d89e7021d12,Ceco Door Products,ee317daf-f705-4626-9170-82332590dad8,"United Dominion Industries, Inc.",002e4c5e-02d0-4658-a0da-0d89e7021d12,e2f60f4a-16c7-11ed-9b5f-1234bde3cd05,Ceco Door Products,ee317daf-f705-4626-9170-82332590dad8,409289a1-cb8e-11eb-9615-121df0c29c1e
169,003ab619-8f72-4916-94ac-367d86eb40f0,Rohr Plessey,2c06e693-b344-4478-ba28-03c061712291,"Rohr Industrial Systems, Inc.",003ab619-8f72-4916-94ac-367d86eb40f0,ff3559ac-16c7-11ed-9b5f-1234bde3cd05,Rohr Plessey Corporation,2c06e693-b344-4478-ba28-03c061712291,f17c01a0-09bd-11ec-893a-12de62d610b1
172,003cac4f-ebd9-46eb-8a57-2c5bc74abb59,Elliot Kastle,673f8278-fe73-461b-aa04-08b7a794473d,"Elliot Kastle, Inc.",003cac4f-ebd9-46eb-8a57-2c5bc74abb59,92237ca2-16c8-11ed-9b5f-1234bde3cd05,"Elliot Kastle, Inc.",673f8278-fe73-461b-aa04-08b7a794473d,fe67d7f9-cb8f-11eb-9615-121df0c29c1e
288,0061d08b-7f94-4832-b3e0-426871968d55,Powers Chemco,e7b500ad-ea76-43aa-8629-9525f6509e78,"Powers Chemco, Inc.",0061d08b-7f94-4832-b3e0-426871968d55,0be84bc3-16c8-11ed-9b5f-1234bde3cd05,"Powers Chemco, Inc.",e7b500ad-ea76-43aa-8629-9525f6509e78,b6a5eebb-cb8e-11eb-9615-121df0c29c1e
837,01120396-07c2-42dd-80e8-d09f7de87483,Alumax Mill Products,ae16e3c8-7625-4f93-8b49-29939d3d40f5,Arconic Lancaster Corp.,01120396-07c2-42dd-80e8-d09f7de87483,c1c02a5c-16c7-11ed-9b5f-1234bde3cd05,"Alumax Mill Products, Inc.",ae16e3c8-7625-4f93-8b49-29939d3d40f5,3ca0b3f3-cb8e-11eb-9615-121df0c29c1e
896,011f891b-09cc-4763-8c71-43139cd4ce9c,Miki America,70eaf790-1cf6-49bb-a58a-5574ba29fa48,"Miyoshi America, Inc.",011f891b-09cc-4763-8c71-43139cd4ce9c,06a68c70-16c8-11ed-9b5f-1234bde3cd05,"Miki America, Inc.",70eaf790-1cf6-49bb-a58a-5574ba29fa48,469b1b97-cb8e-11eb-9615-121df0c29c1e
1042,0152be32-097a-4f64-a3a3-50a5aa55778a,Beachy,887125a4-758d-43b6-bdea-b5e91edfb024,Beachy Co.,0152be32-097a-4f64-a3a3-50a5aa55778a,7149ce92-16c8-11ed-9b5f-1234bde3cd05,Beachy Co.,887125a4-758d-43b6-bdea-b5e91edfb024,d750d0e9-cb90-11eb-9615-121df0c29c1e
1056,01562f83-5adf-48a9-a1fd-28cbbe322711,Ellcon National,86816eb9-b4fe-47dd-bccf-640c0091e711,"Faiveley Transport North America, Inc.",01562f83-5adf-48a9-a1fd-28cbbe322711,5be628f1-16c8-11ed-9b5f-1234bde3cd05,"Ellcon National, Inc.",86816eb9-b4fe-47dd-bccf-640c0091e711,9ea33bb9-cb90-11eb-9615-121df0c29c1e
1122,01675d28-b659-489a-9264-84e78e4b2e35,Carstens,2bd6fda1-a322-4297-85c0-2f246fca36d3,"Carstens, Incorporated",01675d28-b659-489a-9264-84e78e4b2e35,e5bb6d69-16c7-11ed-9b5f-1234bde3cd05,"Carstens, Inc.",2bd6fda1-a322-4297-85c0-2f246fca36d3,ea9c1073-cb8e-11eb-9615-121df0c29c1e
1210,017e24a0-0341-423f-9355-da4888d356e3,Economy Laser,3a76ca4b-52bf-4565-86b1-fedd08f6f8dd,"Laser Snap, Inc.",017e24a0-0341-423f-9355-da4888d356e3,c23317c8-16c7-11ed-9b5f-1234bde3cd05,"Economy Laser, Inc.",3a76ca4b-52bf-4565-86b1-fedd08f6f8dd,68e85455-cb8f-11eb-9615-121df0c29c1e
3692,0189d114-64c3-4bb2-826a-25f4d0bf3917,Martin Marietta Energy Systems,bd65f5d9-d906-4ef2-977a-474a51827761,"Lockheed Martin Energy Systems, Inc.",0189d114-64c3-4bb2-826a-25f4d0bf3917,f7ccd9fe-16c7-11ed-9b5f-1234bde3cd05,"Martin Marietta Energy Systems, Inc.",bd65f5d9-d906-4ef2-977a-474a51827761,fe677286-cb8f-11eb-9615-121df0c29c1e
3745,0198ca53-ffc3-4808-b800-9aa6ae705868,Turek And Heller Machine,5326c27e-9e1c-4e51-ab6c-bb608cade0e6,"Turek & Heller Machine, Inc.",0198ca53-ffc3-4808-b800-9aa6ae705868,ebaceffc-16c7-11ed-9b5f-1234bde3cd05,"Turek & Heller Machine, Inc.",5326c27e-9e1c-4e51-ab6c-bb608cade0e6,3d4fd449-cb8e-11eb-9615-121df0c29c1e
3809,01b09ebe-2533-461f-a23b-5e92b4d29c7a,R J Harvey Instrument,0f4b6897-23f7-4bcf-a2d8-6d570e55ff74,R.J. Harvey Instrument Corp.,01b09ebe-2533-461f-a23b-5e92b4d29c7a,073fe4df-16c8-11ed-9b5f-1234bde3cd05,R. J. Harvey Instrument Corporation,0f4b6897-23f7-4bcf-a2d8-6d570e55ff74,b9d2eb8e-09bc-11ec-893a-12de62d610b1
16822,01ceaf05-82f5-48db-8f89-43fa4a29e566,Agricultural Aviation Engineering,e62b4591-f071-4597-b791-35e9075d2af1,Agricultural Aviation Engineering Company,01ceaf05-82f5-48db-8f89-43fa4a29e566,620b2508-16c8-11ed-9b5f-1234bde3cd05,Agricultural Aviation Engineering Company,e62b4591-f071-4597-b791-35e9075d2af1,f97aecf0-cb90-11eb-9615-121df0c29c1e
16855,01d98917-9df8-4fdc-aebd-ae2d7539c79e,Pacific Heritage Home Fashions,54503e90-1231-450f-8b82-3c597a464620,"Pacific Heritage Home Fashions, Inc.",01d98917-9df8-4fdc-aebd-ae2d7539c79e,c41f57ca-16c7-11ed-9b5f-1234bde3cd05,Pacific Heritage Home Fashions Inc.,54503e90-1231-450f-8b82-3c597a464620,f674b206-cb8e-11eb-9615-121df0c29c1e
